Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,181.000000,184.699997,179.500000,182.250000,182.250000,14690339
2019-03-19,182.000000,184.500000,180.750000,182.850006,182.850006,10318028
2019-03-20,183.000000,183.449997,179.600006,180.199997,180.199997,7543753
2019-03-22,181.949997,182.000000,174.899994,175.399994,175.399994,11505994
2019-03-25,173.699997,173.800003,170.550003,171.300003,171.300003,11864723
2019-03-26,171.899994,173.600006,171.600006,173.100006,173.100006,7820112
2019-03-27,174.000000,175.000000,169.149994,169.850006,169.850006,10047628
2019-03-28,169.000000,171.399994,167.550003,170.550003,170.550003,13203927
2019-04-01,176.350006,189.750000,176.350006,187.350006,187.350006,46389181
2019-04-02,188.050003,204.399994,185.300003,202.949997,202.949997,100834335
2019-04-03,205.000000,208.949997,199.199997,201.350006,201.350006,81779620
2019-04-04,201.850006,206.899994,201.050003,206.149994,206.149994,41268908
2019-04-05,208.000000,209.500000,202.300003,205.149994,205.149994,32057373
2019-04-08,206.000000,207.399994,198.800003,200.550003,200.550003,23877595
2019-04-09,200.000000,207.600006,198.149994,205.899994,205.899994,29611268
2019-04-10,206.000000,217.399994,205.600006,216.050003,216.050003,69349488
2019-04-11,216.600006,219.199997,213.300003,218.199997,218.199997,41859862
2019-04-12,218.949997,219.000000,215.000000,215.949997,215.949997,21788548
2019-04-15,217.149994,233.250000,217.149994,231.750000,231.750000,57283251
2019-04-16,233.800003,234.100006,225.649994,230.500000,230.500000,41653657
2019-04-18,231.899994,239.300003,230.600006,236.250000,236.250000,42451178
2019-04-22,235.000000,239.350006,231.699997,234.850006,234.850006,30282217
2019-04-23,235.000000,235.850006,230.250000,231.649994,231.649994,18975358
2019-04-24,231.649994,232.949997,217.600006,223.600006,223.600006,50317411
2019-04-25,223.399994,225.899994,220.250000,221.850006,221.850006,27132908
2019-04-26,221.899994,221.899994,214.000000,215.600006,215.600006,26038093
2019-04-30,216.199997,218.649994,210.300003,214.300003,214.300003,21289116
2019-05-02,211.000000,212.649994,206.500000,207.300003,207.300003,21986007
2019-05-03,205.000000,213.649994,203.050003,209.449997,209.449997,37153857
2019-05-06,204.000000,204.500000,198.000000,199.800003,199.800003,30117667
2019-05-07,201.699997,202.850006,189.350006,190.949997,190.949997,30516908
2019-05-08,190.000000,190.899994,183.800003,185.100006,185.100006,28443735
2019-05-09,184.300003,189.800003,182.300003,186.350006,186.350006,32841616
2019-05-10,187.000000,190.600006,184.300003,185.899994,185.899994,28910719
2019-05-13,186.199997,187.149994,179.600006,180.750000,180.750000,15373536
